date,series,adjusted_close
2016-09-01,MSFT,51.146915435791016
2016-10-01,MSFT,53.206993103027344
2016-11-01,MSFT,53.870391845703125
2016-12-01,MSFT,55.551048278808594
2017-01-01,MSFT,57.79489517211914
2017-02-01,MSFT,57.542694091796875
2017-03-01,MSFT,59.23353958129883
2017-04-01,MSFT,61.57194900512695
2017-05-01,MSFT,63.173133850097656
2017-06-01,MSFT,62.350006103515625
2017-07-01,MSFT,65.7601318359375
2017-08-01,MSFT,67.99285888671875
2017-09-01,MSFT,67.73824310302734
2017-10-01,MSFT,75.64056396484375
2017-11-01,MSFT,76.92522430419922
2017-12-01,MSFT,78.17731475830078
2018-01-01,MSFT,86.83220672607422
2018-02-01,MSFT,86.10150909423828
2018-03-01,MSFT,83.80594635009766
2018-04-01,MSFT,85.87194061279297
2018-05-01,MSFT,91.15025329589844
2018-06-01,MSFT,90.93815612792969
2018-07-01,MSFT,97.82698822021484
2018-08-01,MSFT,103.98939514160156
2018-09-01,MSFT,105.8779296875
2018-10-01,MSFT,98.87924194335938
2018-11-01,MSFT,103.09980773925781
2018-12-01,MSFT,94.43455505371094
2019-01-01,MSFT,97.0936279296875
2019-02-01,MSFT,104.60453796386719
2019-03-01,MSFT,110.1228256225586
2019-04-01,MSFT,121.9437255859375
2019-05-01,MSFT,115.90984344482422
2019-06-01,MSFT,125.54397583007812
2019-07-01,MSFT,127.70892333984375
2019-08-01,MSFT,129.62921142578125
2019-09-01,MSFT,130.72935485839844
2019-10-01,MSFT,134.81021118164062
2019-11-01,MSFT,142.8263397216797
2019-12-01,MSFT,148.7892608642578
2020-01-01,MSFT,160.61123657226562
2020-02-01,MSFT,153.2732391357422
2020-03-01,MSFT,149.20506286621094
2020-04-01,MSFT,169.54566955566406
2020-05-01,MSFT,173.85067749023438
2020-06-01,MSFT,193.0714569091797
2020-07-01,MSFT,194.4945526123047
2020-08-01,MSFT,214.47923278808594
2020-09-01,MSFT,200.0240020751953
2020-10-01,MSFT,192.54913330078125
2020-11-01,MSFT,204.11375427246094
2020-12-01,MSFT,212.0753936767578
2021-01-01,MSFT,221.1717071533203
2021-02-01,MSFT,222.08248901367188
2021-03-01,MSFT,225.32228088378906
2021-04-01,MSFT,241.00506591796875
2021-05-01,MSFT,239.16683959960938
2021-06-01,MSFT,259.4932861328125
2021-07-01,MSFT,272.9134216308594
2021-08-01,MSFT,289.72247314453125
2021-09-01,MSFT,270.5662536621094
2021-10-01,MSFT,318.2648010253906
2021-11-01,MSFT,317.8567199707031
2021-12-01,MSFT,323.36602783203125
2022-01-01,MSFT,299.001953125
2022-02-01,MSFT,287.8756408691406
2022-03-01,MSFT,297.04766845703125
2022-04-01,MSFT,267.38250732421875
2022-05-01,MSFT,262.54901123046875
2022-06-01,MSFT,248.02462768554688
2022-07-01,MSFT,271.1148681640625
2022-08-01,MSFT,253.04147338867188
2022-09-01,MSFT,225.39244079589844
2022-10-01,MSFT,224.64724731445312
2022-11-01,MSFT,247.6114044189453
2022-12-01,MSFT,232.74346923828125
2023-01-01,MSFT,240.49771118164062
2023-02-01,MSFT,242.66650390625
2023-03-01,MSFT,280.4937744140625
2023-04-01,MSFT,298.94036865234375
2023-05-01,MSFT,320.1966552734375
2023-06-01,MSFT,332.0435485839844
2023-07-01,MSFT,327.53875732421875
2023-08-01,MSFT,320.2590026855469
2023-09-01,MSFT,308.5238342285156
2023-10-01,MSFT,330.3721618652344
2023-11-01,MSFT,370.9898986816406
2023-12-01,MSFT,368.17987060546875
2024-01-01,MSFT,389.2696228027344
2024-02-01,MSFT,405.7428894042969
2024-03-01,MSFT,412.6877136230469
2024-04-01,MSFT,381.8969421386719
2024-05-01,MSFT,407.93890380859375
2024-06-01,MSFT,439.20770263671875
2024-07-01,MSFT,411.1031494140625
2024-08-01,MSFT,410.6529541015625
2024-09-01,MSFT,423.6083068847656
2024-10-01,MSFT,400.0307312011719
2024-11-01,MSFT,417.7090759277344
2024-12-01,MSFT,415.77569580078125
2025-01-01,MSFT,409.4231262207031
2025-02-01,MSFT,392.38372802734375
2025-03-01,MSFT,371.034423828125
2025-04-01,MSFT,390.673828125
2025-05-01,MSFT,455.85382080078125
2025-06-01,MSFT,492.5411682128906
2025-07-01,MSFT,528.2779541015625
2025-08-01,MSFT,502.5551452636719
2025-09-01,MSFT,513.7232666015625
2025-10-01,MSFT,513.5844116210938
2025-11-01,MSFT,488.9082946777344
2025-12-01,MSFT,480.5711669921875
2026-01-01,MSFT,427.577392578125
2026-02-01,MSFT,391.15484619140625
2026-03-01,MSFT,368.67596435546875
2026-04-01,MSFT,406.1341552734375
2026-05-01,MSFT,449.3940124511719
2026-06-01,MSFT,372.319091796875
2026-07-01,MSFT,463.8468017578125
2026-08-01,MSFT,510.510009765625
2016-09-01,ORCL,33.832298278808594
2016-10-01,ORCL,33.219764709472656
2016-11-01,ORCL,34.75019454956055
2016-12-01,ORCL,33.24570846557617
2017-01-01,ORCL,34.81685256958008
2017-02-01,ORCL,36.969566345214844
2017-03-01,ORCL,38.7230110168457
2017-04-01,ORCL,39.1949577331543
2017-05-01,ORCL,39.56981658935547
2017-06-01,ORCL,43.71074295043945
2017-07-01,ORCL,43.691864013671875
2017-08-01,ORCL,44.04188537597656
2017-09-01,ORCL,42.309268951416016
2017-10-01,ORCL,44.716365814208984
2017-11-01,ORCL,43.099891662597656
2017-12-01,ORCL,41.53614044189453
2018-01-01,ORCL,45.49903106689453
2018-02-01,ORCL,44.68764114379883
2018-03-01,ORCL,40.348533630371094
2018-04-01,ORCL,40.44474411010742
2018-05-01,ORCL,41.374610900878906
2018-06-01,ORCL,39.018943786621094
2018-07-01,ORCL,42.39038848876953
2018-08-01,ORCL,43.19054412841797
2018-09-01,ORCL,45.83994674682617
2018-10-01,ORCL,43.5965461730957
2018-11-01,ORCL,43.52511215209961
2018-12-01,ORCL,40.302696228027344
2019-01-01,ORCL,45.01482009887695
2019-02-01,ORCL,46.7175407409668
2019-03-01,ORCL,48.133506774902344
2019-04-01,ORCL,49.807369232177734
2019-05-01,ORCL,45.54948043823242
2019-06-01,ORCL,51.28367614746094
2019-07-01,ORCL,50.88570022583008
2019-08-01,ORCL,47.05344772338867
2019-09-01,ORCL,49.73782730102539
2019-10-01,ORCL,49.46942138671875
2019-11-01,ORCL,50.96739959716797
2019-12-01,ORCL,48.098548889160156
2020-01-01,ORCL,47.82933807373047
2020-02-01,ORCL,45.10274124145508
2020-03-01,ORCL,44.07229232788086
2020-04-01,ORCL,48.53299331665039
2020-05-01,ORCL,49.26598358154297
2020-06-01,ORCL,50.64033508300781
2020-07-01,ORCL,51.020042419433594
2020-08-01,ORCL,52.64863204956055
2020-09-01,ORCL,54.93050765991211
2020-10-01,ORCL,51.836368560791016
2020-11-01,ORCL,53.32374572753906
2020-12-01,ORCL,59.76287841796875
2021-01-01,ORCL,56.040958404541016
2021-02-01,ORCL,59.82462692260742
2021-03-01,ORCL,65.07353973388672
2021-04-01,ORCL,70.58943939208984
2021-05-01,ORCL,73.33705139160156
2021-06-01,ORCL,72.49879455566406
2021-07-01,ORCL,81.46004486083984
2021-08-01,ORCL,83.32032012939453
2021-09-01,ORCL,81.45068359375
2021-10-01,ORCL,89.99842834472656
2021-11-01,ORCL,85.12047576904297
2021-12-01,ORCL,81.80908966064453
2022-01-01,ORCL,76.41656494140625
2022-02-01,ORCL,71.52992248535156
2022-03-01,ORCL,77.89481353759766
2022-04-01,ORCL,69.3804702758789
2022-05-01,ORCL,67.98151397705078
2022-06-01,ORCL,66.04378509521484
2022-07-01,ORCL,73.90638732910156
2022-08-01,ORCL,70.40287017822266
2022-09-01,ORCL,57.983863830566406
2022-10-01,ORCL,74.50579071044922
2022-11-01,ORCL,79.23936462402344
